Size;Bubble ( random [0, 5] );Bubble ( random [0, 4000] );Bubble ( almost sorted );Bubble ( reverse sorted );Selection ( random [0, 5] );Selection ( random [0, 4000] );Selection ( almost sorted );Selection ( reverse sorted );Insertion ( random [0, 5] );Insertion ( random [0, 4000] );Insertion ( almost sorted );Insertion ( reverse sorted );Counting ( random [0, 5] );Counting ( random [0, 4000] );Counting ( almost sorted );Counting ( reverse sorted );Radix ( random [0, 5] );Radix ( random [0, 4000] );Radix ( almost sorted );Radix ( reverse sorted );Merge ( random [0, 5] );Merge ( random [0, 4000] );Merge ( almost sorted );Merge ( reverse sorted );Quick ( random [0, 5] );Quick ( random [0, 4000] );Quick ( almost sorted );Quick ( reverse sorted );Heap ( random [0, 5] );Heap ( random [0, 4000] );Heap ( almost sorted );Heap ( reverse sorted )
100;8526;9040;5594;6782;7794;8324;6778;8298;2230;2404;210;3696;776;9398;1176;1172;1024;2616;1394;2640;17916;19864;16754;16780;802;972;558;580;1796;1994;2112;1846
1100;920978;1248816;547870;1162212;604182;644608;659184;887032;181798;194596;2204;363766;3870;12962;6412;6406;6216;12958;12812;13114;269116;372592;305796;247970;16584;58270;8006;8060;67956;110790;73898;67730
2100;3339448;4806428;2272148;4406528;3383490;4328126;3280440;2823986;557404;664166;4192;1329242;6514;14808;10162;10112;10764;20006;21312;22182;441296;744960;681580;555606;36804;106418;12494;13108;119596;158770;127934;131734
3100;7782946;9478388;3057420;7445908;5243592;5460560;5352742;7495058;1177990;1383404;6000;2755832;12204;22554;20690;21376;22824;46036;46070;47160;1152238;1391128;876310;493480;63176;175604;20938;22162;182018;250266;195184;192668
4100;13746682;17268400;6883334;14081700;8539760;9108208;9230234;12007076;2224530;2361740;6440;5160332;24602;39450;41156;39194;38494;78132;76190;76728;999498;776528;600026;632426;99200;256972;27080;28836;264368;367746;287250;279228
